№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
1142,АБДУСАМАТОВ ПУЛАТЖОН КАРОМАТОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322272400014815,271307420705,41.20 Строительство жилых и нежилых зданий,27 - Хабаровский край,,г Хабаровск,,Нет,10.05.2022,10.01.2024,,,,Нет,Нет,Нет,Нет,Нет,
1143,АБДУСАМАТОВА ДИЛАФРУЗ ШАРИФЖОНОВНА,Индивидуальный предприниматель,Микропредприятие,320723200024447,720415499124,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,ГОРОД ТЮМЕНЬ,,Нет,10.05.2020,,,,,Нет,Нет,Нет,Нет,Нет,
1144,АБДУСАМИЕВ ШАХЗОД ШУХРАТОВИЧ,Индивидуальный предприниматель,Микропредприятие,321508100616778,222111827729,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Дмитров г,,рп Икша,Нет,10.01.2022,,,,,Нет,Нет,Нет,Нет,Нет,
1145,АБДУСАМИНОВ КОБИЛЖОН ВАЛИЖОНОВИЧ,Индивидуальный предприниматель,Микропредприятие,324028000009740,27510179640,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,Иглинский р-н,,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1146,АБДУСАТОРОВ АБДУХАЛИЛ АБДУЛАЗИЗОВИЧ,Индивидуальный предприниматель,Микропредприятие,317144700029192,143528302476,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,ГОРОД ЯКУТСК,,Нет,10.06.2017,,,,,Нет,Нет,Нет,Нет,Нет,
1147,АБДУСАТОРОВ МУХАМАДХОН АХМАДКУЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320402700054212,775103389261,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,Боровский р-н,,д Коряково,Нет,10.02.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1148,АБДУСАТТОРОВ БАХТИЁР АБДУВОХИДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317352500026836,352833071190,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,Череповецкий Район,,Деревня Ирдоматка,Нет,10.10.2021,10.11.2021,,,,Нет,Нет,Нет,Нет,Нет,
1149,АБДУСАТТОРОВ САРВАРЖОН АБДУМАНОНОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320280100012027,594811621127,41.20 Строительство жилых и нежилых зданий,28 - Амурская область,,Город Благовещенск,Село Белогорье,Нет,10.06.2020,10.02.2021,,,,Нет,Нет,Нет,Нет,Нет,
1150,АБДУСЕЛИМОВ РУСЛАН АДИЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320057100001688,54269350346,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,ГОРОД ДЕРБЕНТ,,Нет,10.02.2020,10.08.2021,,,,Нет,Нет,Нет,Нет,Нет,
1151,АБДУСЕЛИМОВ РУСЛАН АДИЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,323057100015122,54269350346,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Дербент,,Да,10.03.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1152,АБДУСЕЛИМОВА ГЮЛЕЙБАТ,Индивидуальный предприниматель,Не является субъектом МСП,322057100045808,54200520574,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Дербент,,Нет,10.06.2022,10.09.2023,,,,Нет,Нет,Нет,Нет,Нет,
1153,АБДУСОДИКОВ БАХТИЁР АБДУРАЗИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,323565800037416,563808015118,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,Беляевский р-н,,с Беляевка,Да,10.05.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1154,АБДУФАТТОЕВ ГАФФОР АБДУФАТТОЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320402700044918,711180078258,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,ЖУКОВСКИЙ РАЙОН,ГОРОД БЕЛОУСОВО,,Нет,10.12.2020,10.04.2022,,,,Нет,Нет,Нет,Нет,Нет,
1155,АБДУХАКИМОВ ЗАФАРЖОН ДЖАМАЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321784700324861,781903491707,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.11.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
1156,АБДУХАЛИКОВ АБДУЛГАМИД АХМЕДОВИЧ,Индивидуальный предприниматель,Микропредприятие,312143502500020,143531884249,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,ГОРОД ЯКУТСК,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
1157,АБДУХАЛИКОВ АБДУРАХМАН АБУАХМЕДОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322057100041430,51397307005,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Казбековский р-н,,с Гертма,Нет,10.05.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
1158,АБДУХАЛИЛОВ ИСМОИЛ АБДУХАЛИЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,324710000001607,502748808631,41.20 Строительство жилых и нежилых зданий,71 - Тульская область,Суворовский р-н,,п Центральный,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1159,АБДУХАЛИЛОВ ИСРОИЛ ШУХРАТОВИЧ,Индивидуальный предприниматель,Микропредприятие,322723200028483,723002714336,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,Тюменский р-н,,д Есаулова,Нет,10.10.2023,,,,,Нет,Нет,Нет,Нет,Нет,
1160,АБДУХАЛИЛОВ ХАЁТЖОН АБДУХАЛИЛ УГЛИ,Индивидуальный предприниматель,Микропредприятие,324665800027303,665208384617,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,Сысертский р-н,г Сысерть,,Да,10.03.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1161,АБДУХАЛИЛОВ ХАЛИМЖОН ХАБИБОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318665800041248,667802490981,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,ГОРОД БЕРЕЗОВСКИЙ,,Нет,10.03.2018,10.09.2019,,,,Нет,Нет,Нет,Нет,Нет,
1162,АБДУХАЛИЛОВ ХАСАНБОЙ АБДУХАЛИЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321402700058603,774331915539,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,Город Обнинск,,Нет,10.11.2021,10.01.2023,,,,Нет,Нет,Нет,Нет,Нет,
1163,АБДУХАЛИМОВ ГАМЗАТ БАСИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317057100045251,53700732504,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,ЦУМАДИНСКИЙ РАЙОН,,СЕЛО ТИНДИ,Нет,10.08.2017,10.03.2018,,,,Нет,Нет,Нет,Нет,Нет,
1164,АБДУХОЛИКЗОД АНВАР МИРЗОАМИН,Индивидуальный предприниматель,Микропредприятие,324140000015932,143540871479,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,Да,10.04.2024,,,,,Нет,Нет,Нет,Нет,Нет,
1165,АБДУХОЛИКЗОД АНВАР МИРЗОАМИН,Индивидуальный предприниматель,Не является субъектом МСП,321144700010226,143540871479,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,Нет,10.03.2021,10.03.2023,,,,Нет,Нет,Нет,Нет,Нет,
